Sample,Group,Short,Medium,Long,Long_to_Medium,Long_to_Short
EvaACY_05177,WT_18WK,5.5920071181397934e+19,12578.783589317283,414152.2260204189,32.92466422366498,7.406146259666932e-15
EvaACY_05178,WT_18WK,84603599948.07765,487.40182786777615,1605.7825838912058,3.2945764502278956,1.898007395520635e-8
EvaACY_05179,WT_18WK,379625205.1724743,219.89407613692103,19350.40058440729,87.99873522904005,5.097238097142644e-5
EvaACY_05180,WT_18WK,3178704.1936958167,156.93465029594486,33146.74480911916,211.21367872940462,0.01042775382335281
EvaACY_05181,HFD_18WK,189812555.3696977,65.72617793087427,202.80036304460714,3.0855340965953766,1.0684243866250738e-6
EvaACY_05182,HFD_18WK,223272336745.67514,94907930.74112631,1696.1019807729651,1.7871024766089392e-5,7.596561246657975e-9
EvaACY_05183,HFD_18WK,49758216194540.06,122828.5386902908,3411.477027238751,0.0277743028095507,6.856107971999789e-11
EvaACY_05184,HFD_18WK,2535301200456459e15,296.10712095431194,250.56650602606737,0.8462022298502193,9.883106038089481e-29
EvaACY_05185,WT_26WK,8548396450010093e8,575.8540909907553,5931.439094386837,10.300246515887059,6.938657009034523e-21
EvaACY_05186,WT_26WK,42741982250050464e7,646.6528230441933,2362.994429893984,3.6541933255157124,5.528509220910535e-21
EvaACY_05187,WT_26WK,18323888924720475e8,64.90321104497137,3019.014435857604,46.515640555376095,1.6475838989531847e-21
EvaACY_05188,HFD_26WK,5902958103587057e5,53.25396920919803,329.88365069885083,6.1945363997745595,5.588446418049115e-19
EvaACY_05189,HFD_26WK,1786161908993.4805,40.915167675371556,407.43457401692416,9.958032611514263,2.28106182292577e-10
EvaACY_05190,HFD_26WK,6369051672525846,124.33368242841712,225.33380670089653,1.8123311583780077,3.537949105875811e-14
EvaACY_05191,DR_26WK,1416810861.1311784,44.90667520420256,188.82232731596025,4.204771928835414,1.3327278361291284e-7
EvaACY_05192,DR_26WK,38614708532032496,1829.9215837042757,971.5087295538837,0.530901836562459,2.515903308574703e-14
EvaACY_05193,DR_26WK,1204501.465447409,5.883785297886753,13.445977959316389,2.2852597908604357,1.1163106351491166e-5
EvaACY_05194,DR_26WK,29911890168.31216,10352.212166797595,465.4053662516316,0.044957093107530696,1.5559209519452882e-8
EvaACY_05195,EX_26WK,54609444513084250,4090.682063614021,3858.8408587010103,0.9433245602303826,7.066251805173452e-14
EvaACY_05196,EX_26WK,111635119345.21861,1878.0716091952359,255.39127594103138,0.13598590953114295,2.287732368084488e-9
EvaACY_05197,EX_26WK,137438954138.76474,25088.88103492154,1979.5191169677948,0.07890025522511253,1.4402897121649956e-8
EvaACY_05198,DREX_26WK,13954389983.355568,240.66882669039745,900.9511579552333,3.74353076941801,6.456399448702984e-8
EvaACY_05199,DREX_26WK,173268172540971.44,43344.82192427361,2389.359417275243,0.05512444880843249,1.3789949892328026e-11
EvaACY_05200,DREX_26WK,1099511629580.5461,94467.34554326747,9160.6329313076,0.09697142307350949,8.331547102236927e-9
EvaACY_05201,WT_18WK,354202719.4582209,62.96779662048979,69.37841387951283,1.1018078701031921,1.9587205311588861e-7
EvaACY_05202,WT_18WK,1329227995784916e21,10335.95406384511,1037.1562119243285,0.10034450671102274,7.802696115438665e-34
EvaACY_05203,WT_18WK,223270238894.20847,6488.799480219788,1264.6639660127528,0.1948995295459363,5.664274702603714e-9
EvaACY_05204,HFD_18WK,660965750.4141723,521.54373534501,84.10553340362527,0.16126266639553832,1.272464319836895e-7
EvaACY_05205,HFD_18WK,239295116769.5607,186.62267783408998,844.1954606540071,4.523541674846762,3.5278424066921542e-9
EvaACY_05206,HFD_18WK,4942682692100138e3,342.10874046644295,297.2347392316409,0.868831175802117,6.013631821980188e-17
EvaACY_05207,WT_26WK,5544581521179510,576.7003777837388,3728.188965734853,6.46468965403195,6.724022275610347e-13
EvaACY_05208,WT_26WK,1829029794780398.5,124.34479856421524,506.389791387067,4.0724646083652045,2.768625163090175e-13
EvaACY_05209,WT_26WK,99516432383231.27,74.84319098341082,670.8516376408616,8.963429121956565,6.741114221794606e-12
EvaACY_05210,WT_26WK,154458834128146940,3251.6189978191815,160065.2444744146,49.226322204959516,1.0362971168202414e-12
EvaACY_05211,HFD_26WK,239295116744.25208,18.71360689571938,31.741130207232636,1.6961524512141601,1.3264428726791002e-10
EvaACY_05212,HFD_26WK,11452430577950297e7,8437.477071083276,16829.470319590215,1.9946093100824867,1.4695107911845797e-19
EvaACY_05213,HFD_26WK,8307674973655724e19,182993.67905633786,30650.72183038993,0.16749606865357114,3.68944643688947e-31
EvaACY_05214,HFD_26WK,65656359890810.35,90.86298359863245,306.0167365493669,3.367892231022586,4.6608849022133926e-12
EvaACY_05215,DR_26WK,2301616007.8428717,80.37818985066264,584.6202978548877,7.27336979025123,2.5400427172159246e-7
EvaACY_05216,DR_26WK,131312719784668.3,3132.479264669487,843.8617899364228,0.2693910218190894,6.426352232443439e-12
EvaACY_05217,DR_26WK,8112963841460668e16,6273.063802920259,16626.874771004168,2.650518995720076,2.04942054419543e-28
EvaACY_05218,EX_26WK,6219777024147.298,8856.458877662673,47277.89817133344,5.338239450371688,7.601220749198002e-9
EvaACY_05219,EX_26WK,1888946593147858e7,36011.20793178603,787.4550388163085,0.021866943211345184,4.1687522647426704e-20
EvaACY_05220,EX_26WK,131312719932125.1,1204656.005846998,22482.11542615626,0.018662684880194493,1.7121049231009116e-10
EvaACY_05221,DREX_26WK,48681249466525884e3,3506.4703889340185,1135.2012067423468,0.32374470074662537,2.3319064715521154e-17
