"","Acetyl_CoA_dat_m_17","Acetyl_CoA_dat_m_8","ADP_dat_m_1","Aspartic_acid_dat_m_1","Aspartic_acid_dat_m_2","ATP_dat_m_1","ATP_dat_m_2","ATP_dat_m_3","ATP_dat_m_5","Citric_Isocitric_acid_dat_m_1","Citric_Isocitric_acid_dat_m_2","Citric_Isocitric_acid_dat_m_3","E4P_dat_m_1","E4P_dat_m_3","F6P_dat_m_1","F6P_dat_m_2","F6P_dat_m_3","FAD_dat_m_18","Fructose_1_6_bisphosphate_dat_m_3","Fructose_dat_m_1","Fructose_dat_m_3","Fumaric_acid_dat_m_1","Fumaric_acid_dat_m_2","Fumaric_acid_dat_m_3","Glutamic_acid_dat_m_1","Glutamic_acid_dat_m_2","Glutamic_acid_dat_m_3","Glutamic_acid_dat_m_4","Lactic_acid_dat_m_1","Lactic_acid_dat_m_2","Lactic_acid_dat_m_3","Malic_acid_dat_m_1","Malic_acid_dat_m_2","Malic_acid_dat_m_3","NAD_dat_m_1","NAD_dat_m_18","NAD_dat_m_19","NAD_dat_m_2","NAD_dat_m_3","NAD_dat_m_8","NADH_dat_m_1","NADH_dat_m_16","NADH_dat_m_17","NADH_dat_m_18","NADH_dat_m_19","NADH_dat_m_2","NADH_dat_m_20","NADH_dat_m_21","NADH_dat_m_6","NADH_dat_m_7","NADP_dat_m_1","NADP_dat_m_13","NADP_dat_m_2","NADP_dat_m_3","NADP_dat_m_4","NADP_dat_m_5","NADP_dat_m_7","NADP_dat_m_8","NADPH_dat_m_1","NADPH_dat_m_2","NADPH_dat_m_3","NADPH_dat_m_5","Oxoglutaric_acid_dat_m_1","Oxoglutaric_acid_dat_m_4","Oxoglutaric_acid_dat_m_5","Phosphoglyceric_acid_dat_m_1","Phosphoglyceric_acid_dat_m_3","Phosphoserine_dat_m_3","Pyruvic_acid_dat_m_1","Pyruvic_acid_dat_m_3","R5P_dat_m_1","R5P_dat_m_2","R5P_dat_m_3","S7P_dat_m_1","S7P_dat_m_2","S7P_dat_m_3","Serine_dat_m_3","sn_Glycero_3_phosphate_dat_m_3","Succinic_acid_dat_m_1","Succinic_acid_dat_m_2","Succinic_acid_dat_m_3","X6_Phosphogluconic_acid_dat_m_1","X6_Phosphogluconic_acid_dat_m_2","X6_Phosphogluconic_acid_dat_m_3","X6_Phosphogluconic_acid_dat_m_4","X6_Phosphogluconic_acid_dat_m_5"
"DR",0.0144764053393495,0.000839026728994367,0.00375886936970415,0.0114453967547766,0.0132711947501211,0.111981484456594,0.0917005112704472,0.0171515706955383,0.0207194899817851,0.0187393128358605,0.0397934416971806,0.0106387510502426,0.0239225279120448,0.0114324913933819,0.0111220327053623,0.00675426550216297,0.044545344064641,0.0070664234739931,0.0470336847491282,0.00544870034625078,0.00122103439272028,0.065689971663876,0.108087203034927,0.0306967328088611,0.036278046914469,0.131607149929865,0.0203614410631852,0.00889591210926756,0.238901067322352,0.126202547751815,2.23842028988528,0.0806316651650607,0.11576454596917,0.0324400900035428,0.00891352534312598,0.00931366819313518,0.00599385624622037,0.0169810769982019,0.00807235916599995,0.00772660333436946,0.090261957488136,0.292687595822099,0.165043481738812,0.697558037106074,0,0.024540901909536,0.193965517241379,0.535645765348841,0.196895452468421,0.0231506919006919,0.285481978777496,0.0510204081632653,0.205673221476663,0,1.40469951048647,0.206770244621813,0.367349457534573,0.0727344035165381,0.111981484456594,0.0917005112704472,0.0171515706955383,0.0207194899817851,0.00815483426407562,2.95492289442467,0.43198892843021,0.00737904239195777,0.0466249282038071,0,0.0144759504643655,0.187453945408725,0.0114145378915,0.00882509097001658,0.0222046117824191,0.0246246743410413,0.0181038806184741,0.028220454802522,0.0102016019518621,0.0212228083409539,0.0517611896913863,0.0342465295970127,0.0074607960872729,0.183264556808879,0.20713190756217,0.0620144069904805,0.0294826719281691,0.00857698919507045
"DR-EX",0.0106560106560107,0,0.00630351594782003,0.00848590563912291,0.0131277807161269,0.409780641106222,2.5340559215273,0.08,0,0.0226488704716925,0.050624186289151,0.0141388043465959,0.0300748780897692,0.0189685786765146,0.0136367806307444,0.00772161610013929,0.0421934477489162,0.00929186447161875,0.0465486397450932,0.00335597705393477,0,0.0712544448931617,0.117850680217065,0.0354373837487261,0.0375616487834217,0.136032226825655,0.0225958621473342,0.0101716668980975,0.231729517544986,0.120191423101046,2.24961669799855,0.0833932378072775,0.123523851755556,0.0379801338088081,0.0182990493190517,0.0135198439724085,0.0112774025648334,0.0152886809541198,0.00718426111300255,0.00275779376498801,0,0,0.452054794520548,5.82285593087422,0.587205081669691,0.609876543209877,0.918330308529946,1.60090483210423,0,0.691293243557,0.228487904149181,0.0276153346328785,0.240543003290775,0.0568757148349029,1.03275018321043,0.215816126056607,0.304900507390474,0.11569363244621,0.409780641106222,2.5340559215273,0.08,0,0.00279146252719697,19.5668981481481,0.999900793650794,0.00637221865457623,0.0423026179000319,0,0.0107494244368443,0.164498754895547,0.0153853447084841,0.00555916189115353,0.0232689808611329,0.0285215463063777,0.019404228792403,0.031092473828272,0.00730395617377043,0.020495244750376,0.0507401896707071,0.0559789948540986,0.0132504843190005,0.19352625505824,0.244452871651863,0.0915127826853553,0.0408895716613143,0.00878291342922136
"EX",0.072627025190478,0.05631051768966,0.00369587605769766,0.0060484422732787,0.0118154569566973,0.0352720825274017,0.996046805783818,0.0941796508993041,0.0731292517006803,0.0155688855469275,0.0415474445241694,0.0100136302280005,0.0250639844127547,0.0138792646180205,0.010386247974014,0.0054919448800644,0.0428123307987747,0.0105213794347719,0.0429021716979909,0.00643764919224791,0.0027292553304114,0.052764809533435,0.0953972807819267,0.0274152905665228,0.0269536214883222,0.107960530989806,0.015765918269446,0.00691568585351524,0.220718880547666,0.113993612607864,2.3000994036003,0.0648024723360016,0.101968683310056,0.0301080470972023,0.00137208781362007,0.00169466548776894,0.0079249197178822,0.0134968335115386,0.0084831682310613,0.00362778902144459,0.109852135880208,0.836309523809524,0.699548771121352,3.71140612578427,0.0997605746209098,0.105542692293282,0.607917150600077,2.21493437866438,0.106688476917485,0.379109062980031,0.340238906823857,0.0701128936423054,0.43590268929114,0.0798179988108665,2.66182825829281,0.111017154577908,0.972841615991443,0.145791722956702,0.0352720825274017,0.996046805783818,0.0941796508993041,0.0731292517006803,0,8.38721461187215,0.473490805501524,0.0075789502685978,0.0500426912074373,0.239780539397144,0.0114511391719469,0.163408325210149,0.0192154582874609,0.00692007004698397,0.0190197735167412,0.025776903427508,0.0164129877319787,0.0287177178852183,0.00730203149247887,0.0151324877010787,0.0437531232566807,0.0276572850533729,0.00739685640080867,0.167056824753993,0.190431343824737,0.0724746900601682,0.0243931197416425,0.00788799719304778
"HFD",0.0174212598425197,0,0.00825593709297466,0.00873168928897336,0.0134045353515818,0.080345262511708,0.799234248494092,0.025320322320599,0.355311448043539,0.0157543957565431,0.0351697014637199,0.0104099518613992,0.0266195227732617,0.00639984919125347,0.0111980772287101,0.00554056171346018,0.0577766923897581,0.0147620880418286,0.045206969107141,0.00887813261165946,0.00159547760444621,0.0541004441378286,0.0940683653843165,0.0298710585306533,0.00841913496572741,0.106259551792052,0.0165965046237133,0.00870836600765376,0.208286548002861,0.0974480590242495,2.33289340981832,0.0678811880301348,0.102886212998279,0.0327015649005007,0.0114219246443806,0.015445697676852,0.000479291011032736,0.00616736784040175,0.00334870147902458,0,0.213784381406684,0.284866220735786,0.251461988304094,0.264934703720588,0.608996157703185,0.000661790316962731,0,0.328282828282828,0.0532431086423827,0.17239072515842,0.343341852292829,0.0870535482980789,0.165485562239932,0.102385583524027,0.99732035919306,0.0594640335517354,0.273687608858197,0.042191091954023,0.080345262511708,0.799234248494092,0.025320322320599,0.355311448043539,0.0167700997682003,75.5338529951206,4.37162162162162,0.00948306333772686,0.0697139763387323,2.1500483934471,0.0118623565063818,0.172022085945782,0.0101573362422503,0.00989626992514411,0.0246113681479875,0.0243497464776881,0.0169251511766983,0.0287798970234851,0.00972884614501262,0.0128701246607897,0.0460128501466253,0.0690502620006412,0.0140583669834774,0.167235911267589,0.188058427024413,0.0882938037659056,0.0241138646456905,0.00840079689289569
"SD",0.00753295668549906,0,0.00181728910536598,0.0105903941750998,0.0127995132202969,0.134993320039265,0.563006147709286,0.0237298499462869,0.0217013888888889,0.0216082384913372,0.0406841040927039,0.0106361162446829,0.0250547299970288,0.0133685655681461,0.0115884049870312,0.00575288013907044,0.0501756323627286,0.00772092038080106,0.0452500165609994,0.0143323692839172,0.0125561572516403,0.0619453164587662,0.0950931752439612,0.027421758197599,0.00654651575317404,0.10017784703902,0.0174432447013894,0.00776328983321455,0.213399744522323,0.100602614504086,2.01373963334022,0.0750502360308847,0.100865916378848,0.0300062957112491,0.00601341743935077,0.00107629276810226,0.000957584314449283,0.00710737237837191,0.00580455460491378,0.000443651901242225,0.054382135039421,0.211233810497614,0.236156344465349,0,0,0.023844351075688,0.0393660531697342,0,0.0182353826008226,0.0424013297319235,0.376085555157857,0.185186796648925,0.182283210019223,0.0250075481638084,0.984502349895287,0.0537192647058709,0.297208540391609,0.0310497415941842,0.134993320039265,0.563006147709286,0.0237298499462869,0.0217013888888889,0.0159980734829056,0,0,0.00812063819350635,0.0466491048524555,0.236020008417269,0.0107191053905136,0.140707856784961,0.0103092151355296,0.0103839691460811,0.0220476228629571,0.022249327564821,0.0144246230523089,0.0251827001561619,0.00823965156092053,0.0143619466580394,0.0563388991385489,0.0554495628047637,0.00945317076596339,0.143239265941829,0.14391471504885,0.0610669397972014,0.0181394679030851,0.00615264564923104
