"","X","pathID","pathway"
"766","SUCCINATE","map04727","GABAergic synapse"
"767","SUCCINATE","map05230","Central carbon metabolism in cancer"
"768","MALATE","map01100","Metabolic pathways"
"769","MALATE","map01110","Biosynthesis of secondary metabolites"
"770","MALATE","map01120","Microbial metabolism in diverse environments"
"771","MALATE","map01200","Carbon metabolism"
"772","MALATE","map00020","Citrate cycle (TCA cycle)"
"773","MALATE","map00620","Pyruvate metabolism"
"774","MALATE","map00630","Glyoxylate and dicarboxylate metabolism"
"775","MALATE","map00710","Carbon fixation by Calvin cycle"
"776","MALATE","map00720","Other carbon fixation pathways"
"777","MALATE","map00680","Methane metabolism"
"778","MALATE","map01060","Biosynthesis of plant secondary metabolites"
"779","MALATE","map01061","Biosynthesis of phenylpropanoids"
"780","MALATE","map01062","Biosynthesis of terpenoids and steroids"
"781","MALATE","map01063","Biosynthesis of alkaloids derived from shikimate pathway"
"782","MALATE","map01064","Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
"783","MALATE","map01065","Biosynthesis of alkaloids derived from histidine and purine"
"784","MALATE","map01066","Biosynthesis of alkaloids derived from terpenoid and polyketide"
"785","MALATE","map01070","Biosynthesis of plant hormones"
"786","MALATE","map02020","Two-component system"
"787","MALATE","map04922","Glucagon signaling pathway"
"788","MALATE","map04964","Proximal tubule bicarbonate reclamation"
"789","MALATE","map04742","Taste transduction"
"790","MALATE","map05200","Pathways in cancer"
"791","MALATE","map05230","Central carbon metabolism in cancer"
"792","MALATE","map05211","Renal cell carcinoma"
"793","ITACONATE","map01100","Metabolic pathways"
"794","ITACONATE","map00660","C5-Branched dibasic acid metabolism"
"795","GLUCOSE","map01100","Metabolic pathways"
"796","GLUCOSE","map01110","Biosynthesis of secondary metabolites"
"797","GLUCOSE","map00010","Glycolysis / Gluconeogenesis"
"798","GLUCOSE","map00030","Pentose phosphate pathway"
"799","GLUCOSE","map00052","Galactose metabolism"
"800","GLUCOSE","map00500","Starch and sucrose metabolism"
"801","GLUCOSE","map00520","Amino sugar and nucleotide sugar metabolism"
"802","GLUCOSE","map00074","Mycolic acid biosynthesis"
"803","GLUCOSE","map00901","Indole alkaloid biosynthesis"
"804","GLUCOSE","map00521","Streptomycin biosynthesis"
"805","GLUCOSE","map00524","Neomycin, kanamycin and gentamicin biosynthesis"
"806","GLUCOSE","map02010","ABC transporters"
"807","GLUCOSE","map02060","Phosphotransferase system (PTS)"
"808","GLUCOSE","map02020","Two-component system"
"809","GLUCOSE","map04066","HIF-1 signaling pathway"
"810","GLUCOSE","map04068","FoxO signaling pathway"
"811","GLUCOSE","map04152","AMPK signaling pathway"
"812","GLUCOSE","map04148","Efferocytosis"
"813","GLUCOSE","map04113","Meiosis - yeast"
"814","GLUCOSE","map05111","Biofilm formation - Vibrio cholerae"
"815","GLUCOSE","map04911","Insulin secretion"
"816","GLUCOSE","map04910","Insulin signaling pathway"
"817","GLUCOSE","map04922","Glucagon signaling pathway"
"818","GLUCOSE","map04917","Prolactin signaling pathway"
"819","GLUCOSE","map04976","Bile secretion"
"820","GLUCOSE","map04973","Carbohydrate digestion and absorption"
"821","GLUCOSE","map04978","Mineral absorption"
"822","GLUCOSE","map04742","Taste transduction"
"823","GLUCOSE","map05230","Central carbon metabolism in cancer"
"824","GLUCOSE","map05415","Diabetic cardiomyopathy"
"825","GLUCOSE","map04930","Type II diabetes mellitus"
"826","GLUCOSE","map04932","Non-alcoholic fatty liver disease"
"827","GLUCOSE","map04931","Insulin resistance"
"828","GLUCOSE","map04933","AGE-RAGE signaling pathway in diabetic complications"
"829","GLUCOSE 6 PHOSPHATE","map01100","Metabolic pathways"
"830","GLUCOSE 6 PHOSPHATE","map01110","Biosynthesis of secondary metabolites"
"831","GLUCOSE 6 PHOSPHATE","map00500","Starch and sucrose metabolism"
"832","GLUCOSE 6 PHOSPHATE","map00562","Inositol phosphate metabolism"
"833","GLUCOSE 6 PHOSPHATE","map00521","Streptomycin biosynthesis"
"834","GLUCOSE 6 PHOSPHATE","map00524","Neomycin, kanamycin and gentamicin biosynthesis"
"835","GLUCOSE 6 PHOSPHATE","map00998","Biosynthesis of various antibiotics"
"836","GLUCOSE 6 PHOSPHATE","map01062","Biosynthesis of terpenoids and steroids"
"837","GLUCOSE 6 PHOSPHATE","map02060","Phosphotransferase system (PTS)"
"838","GLUCOSE 6 PHOSPHATE","map02020","Two-component system"
"839","GLUCOSE 6 PHOSPHATE","map05111","Biofilm formation - Vibrio cholerae"
"840","GLUCOSE 6 PHOSPHATE","map04911","Insulin secretion"
"841","GLUCOSE 6 PHOSPHATE","map04917","Prolactin signaling pathway"
"842","GLUCOSE 6 PHOSPHATE","map04918","Thyroid hormone synthesis"
"843","GLUCOSE 6 PHOSPHATE","map04973","Carbohydrate digestion and absorption"
"844","GLUCOSE 6 PHOSPHATE","map05230","Central carbon metabolism in cancer"
"845","GLUCOSE 6 PHOSPHATE","map05415","Diabetic cardiomyopathy"
"846","GLUCOSE 6 PHOSPHATE","map04931","Insulin resistance"
"847"," FRUCTOSE 6 PHOSPHATE","map01100","Metabolic pathways"
"848"," FRUCTOSE 6 PHOSPHATE","map01110","Biosynthesis of secondary metabolites"
"849"," FRUCTOSE 6 PHOSPHATE","map01120","Microbial metabolism in diverse environments"
"850"," FRUCTOSE 6 PHOSPHATE","map01200","Carbon metabolism"
"851"," FRUCTOSE 6 PHOSPHATE","map01230","Biosynthesis of amino acids"
"852"," FRUCTOSE 6 PHOSPHATE","map01250","Biosynthesis of nucleotide sugars"
"853"," FRUCTOSE 6 PHOSPHATE","map01240","Biosynthesis of cofactors"
"854"," FRUCTOSE 6 PHOSPHATE","map00010","Glycolysis / Gluconeogenesis"
"855"," FRUCTOSE 6 PHOSPHATE","map00030","Pentose phosphate pathway"
"856"," FRUCTOSE 6 PHOSPHATE","map00051","Fructose and mannose metabolism"
"857"," FRUCTOSE 6 PHOSPHATE","map00052","Galactose metabolism"
"858"," FRUCTOSE 6 PHOSPHATE","map00500","Starch and sucrose metabolism"
"859"," FRUCTOSE 6 PHOSPHATE","map00520","Amino sugar and nucleotide sugar metabolism"
"860"," FRUCTOSE 6 PHOSPHATE","map00710","Carbon fixation by Calvin cycle"
"861"," FRUCTOSE 6 PHOSPHATE","map00680","Methane metabolism"
"862"," FRUCTOSE 6 PHOSPHATE","map00541","O-Antigen nucleotide sugar biosynthesis"
"863"," FRUCTOSE 6 PHOSPHATE","map00998","Biosynthesis of various antibiotics"
"864"," FRUCTOSE 6 PHOSPHATE","map00997","Biosynthesis of various other secondary metabolites"
"865"," FRUCTOSE 6 PHOSPHATE","map01060","Biosynthesis of plant secondary metabolites"
"866"," FRUCTOSE 6 PHOSPHATE","map01061","Biosynthesis of phenylpropanoids"
"867"," FRUCTOSE 6 PHOSPHATE","map01062","Biosynthesis of terpenoids and steroids"
"868"," FRUCTOSE 6 PHOSPHATE","map01063","Biosynthesis of alkaloids derived from shikimate pathway"
"869"," FRUCTOSE 6 PHOSPHATE","map01064","Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid"
"870"," FRUCTOSE 6 PHOSPHATE","map01065","Biosynthesis of alkaloids derived from histidine and purine"
"871"," FRUCTOSE 6 PHOSPHATE","map01066","Biosynthesis of alkaloids derived from terpenoid and polyketide"
"872"," FRUCTOSE 6 PHOSPHATE","map01070","Biosynthesis of plant hormones"
"873"," FRUCTOSE 6 PHOSPHATE","map04152","AMPK signaling pathway"
"874"," FRUCTOSE 6 PHOSPHATE","map04922","Glucagon signaling pathway"
"875"," FRUCTOSE 6 PHOSPHATE","map05230","Central carbon metabolism in cancer"
"876"," FRUCTOSE 6 PHOSPHATE","map05415","Diabetic cardiomyopathy"
"877"," FRUCTOSE 6 PHOSPHATE","map04931","Insulin resistance"
"879","LACTATE","map01100","Metabolic pathways"
"880","LACTATE","map01110","Biosynthesis of secondary metabolites"
"881","LACTATE","map01120","Microbial metabolism in diverse environments"
"882","LACTATE","map00010","Glycolysis / Gluconeogenesis"
"883","LACTATE","map00051","Fructose and mannose metabolism"
"884","LACTATE","map00620","Pyruvate metabolism"
"885","LACTATE","map00640","Propanoate metabolism"
"886","LACTATE","map00643","Styrene degradation"
"887","LACTATE","map04066","HIF-1 signaling pathway"
"888","LACTATE","map04024","cAMP signaling pathway"
"889","LACTATE","map04148","Efferocytosis"
"890","LACTATE","map04922","Glucagon signaling pathway"
"891","LACTATE","map05230","Central carbon metabolism in cancer"
"892","BETA-HYDROXYBUTYRIC ACID","map01100","Metabolic pathways"
"893","BETA-HYDROXYBUTYRIC ACID","map00650","Butanoate metabolism"
"894","BETA-HYDROXYBUTYRIC ACID","map04024","cAMP signaling pathway"
"895","URACIL","map01100","Metabolic pathways"
"896","URACIL","map01232","Nucleotide metabolism"
"897","URACIL","map00240","Pyrimidine metabolism"
"898","URACIL","map00410","beta-Alanine metabolism"
"899","URACIL","map00770","Pantothenate and CoA biosynthesis"
"903","TAURINE","map01100","Metabolic pathways"
"904","TAURINE","map00920","Sulfur metabolism"
"905","TAURINE","map00120","Primary bile acid biosynthesis"
"906","TAURINE","map00430","Taurine and hypotaurine metabolism"
"907","TAURINE","map02010","ABC transporters"
"908","TAURINE","map04080","Neuroactive ligand-receptor interaction"
"909","PYROGLUTAMIC ACID","map01100","Metabolic pathways"
"910","PYROGLUTAMIC ACID","map00480","Glutathione metabolism"
"911","KETOLEUCINE","map01100","Metabolic pathways"
"912","KETOLEUCINE","map01110","Biosynthesis of secondary metabolites"
"913","KETOLEUCINE","map01210","2-Oxocarboxylic acid metabolism"
"914","KETOLEUCINE","map01230","Biosynthesis of amino acids"
"915","KETOLEUCINE","map00280","Valine, leucine and isoleucine degradation"
"916","KETOLEUCINE","map00290","Valine, leucine and isoleucine biosynthesis"
"917","KETOLEUCINE","map00785","Lipoic acid metabolism"
"918","KETOLEUCINE","map00966","Glucosinolate biosynthesis"
"920","CREATINE","map01100","Metabolic pathways"
"921","CREATINE","map00260","Glycine, serine and threonine metabolism"
"922","CREATINE","map00330","Arginine and proline metabolism"
"923","GLUTARATE","map01100","Metabolic pathways"
"924","GLUTARATE","map01120","Microbial metabolism in diverse environments"
"925","GLUTARATE","map00071","Fatty acid degradation"
"926","GLUTARATE","map00310","Lysine degradation"
"928","THREONIC ACID","map01100","Metabolic pathways"
"929","THREONIC ACID","map00053","Ascorbate and aldarate metabolism"
"930","HYPOXANTHINE","map01100","Metabolic pathways"
"931","HYPOXANTHINE","map01232","Nucleotide metabolism"
"932","HYPOXANTHINE","map00230","Purine metabolism"
"933","ANTHRANILIC ACID","map01100","Metabolic pathways"
"934","ANTHRANILIC ACID","map01110","Biosynthesis of secondary metabolites"
"935","ANTHRANILIC ACID","map01120","Microbial metabolism in diverse environments"
"936","ANTHRANILIC ACID","map01230","Biosynthesis of amino acids"
"937","ANTHRANILIC ACID","map01220","Degradation of aromatic compounds"
"938","ANTHRANILIC ACID","map00380","Tryptophan metabolism"
"939","ANTHRANILIC ACID","map00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"940","ANTHRANILIC ACID","map00996","Biosynthesis of various alkaloids"
"941","ANTHRANILIC ACID","map00405","Phenazine biosynthesis"
"942","ANTHRANILIC ACID","map00998","Biosynthesis of various antibiotics"
"943","ANTHRANILIC ACID","map00999","Biosynthesis of various plant secondary metabolites"
"944","ANTHRANILIC ACID","map00997","Biosynthesis of various other secondary metabolites"
"945","ANTHRANILIC ACID","map00627","Aminobenzoate degradation"
"946","ANTHRANILIC ACID","map00621","Dioxin degradation"
"947","ANTHRANILIC ACID","map01060","Biosynthesis of plant secondary metabolites"
"948","ANTHRANILIC ACID","map01061","Biosynthesis of phenylpropanoids"
"949","ANTHRANILIC ACID","map01063","Biosynthesis of alkaloids derived from shikimate pathway"
"950","ANTHRANILIC ACID","map01070","Biosynthesis of plant hormones"
"951","ANTHRANILIC ACID","map07110","Benzoic acid family"
"952","O-PHOSPHORYLETHANOLAMINE","map01100","Metabolic pathways"
"953","O-PHOSPHORYLETHANOLAMINE","map00564","Glycerophospholipid metabolism"
"954","O-PHOSPHORYLETHANOLAMINE","map00600","Sphingolipid metabolism"
"955","O-PHOSPHORYLETHANOLAMINE","map00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"956","O-PHOSPHORYLETHANOLAMINE","map04071","Sphingolipid signaling pathway"
"957","O-PHOSPHORYLETHANOLAMINE","map01503","Cationic antimicrobial peptide (CAMP) resistance"
"958","ADIPIC ACID","map01100","Metabolic pathways"
"959","ADIPIC ACID","map01120","Microbial metabolism in diverse environments"
"960","ADIPIC ACID","map01220","Degradation of aromatic compounds"
"961","ADIPIC ACID","map00930","Caprolactam degradation"
"962","XANTHINE","map01100","Metabolic pathways"
"963","XANTHINE","map01110","Biosynthesis of secondary metabolites"
"964","XANTHINE","map01120","Microbial metabolism in diverse environments"
"965","XANTHINE","map01232","Nucleotide metabolism"
"966","XANTHINE","map00230","Purine metabolism"
"967","XANTHINE","map00232","Caffeine metabolism"
"968","XANTHINE","map01060","Biosynthesis of plant secondary metabolites"
"969","XANTHINE","map01065","Biosynthesis of alkaloids derived from histidine and purine"
"970","3-HYDROXYANTHRANILIC ACID","map01100","Metabolic pathways"
"971","3-HYDROXYANTHRANILIC ACID","map01120","Microbial metabolism in diverse environments"
"972","3-HYDROXYANTHRANILIC ACID","map01240","Biosynthesis of cofactors"
"973","3-HYDROXYANTHRANILIC ACID","map00380","Tryptophan metabolism"
"974","3-HYDROXYANTHRANILIC ACID","map00627","Aminobenzoate degradation"
"976","6-CARBOXYHEXANOATE","map01100","Metabolic pathways"
"977","6-CARBOXYHEXANOATE","map01240","Biosynthesis of cofactors"
"978","6-CARBOXYHEXANOATE","map00780","Biotin metabolism"
"980","ALPHA-AMINOADIPATE","map01100","Metabolic pathways"
"981","ALPHA-AMINOADIPATE","map01110","Biosynthesis of secondary metabolites"
"982","ALPHA-AMINOADIPATE","map01120","Microbial metabolism in diverse environments"
"983","ALPHA-AMINOADIPATE","map01210","2-Oxocarboxylic acid metabolism"
"984","ALPHA-AMINOADIPATE","map01230","Biosynthesis of amino acids"
"985","ALPHA-AMINOADIPATE","map00300","Lysine biosynthesis"
"986","ALPHA-AMINOADIPATE","map00310","Lysine degradation"
"987","ALPHA-AMINOADIPATE","map00311","Penicillin and cephalosporin biosynthesis"
"989","3-HYDROXYCINNAMIC ACID","map01100","Metabolic pathways"
"990","3-HYDROXYCINNAMIC ACID","map01120","Microbial metabolism in diverse environments"
"991","3-HYDROXYCINNAMIC ACID","map01220","Degradation of aromatic compounds"
"992","3-HYDROXYCINNAMIC ACID","map00360","Phenylalanine metabolism"
"993","3-PHENYLLACTIC ACID","map01110","Biosynthesis of secondary metabolites"
"994","3-PHENYLLACTIC ACID","map00960","Tropane, piperidine and pyridine alkaloid biosynthesis"
"995","URATE","map01100","Metabolic pathways"
"996","URATE","map01120","Microbial metabolism in diverse environments"
"997","URATE","map00230","Purine metabolism"
"998","URATE","map04976","Bile secretion"
"1001","N-ALPHA-ACETYL-L-ORNITHINE","map01100","Metabolic pathways"
"1002","N-ALPHA-ACETYL-L-ORNITHINE","map01110","Biosynthesis of secondary metabolites"
"1003","N-ALPHA-ACETYL-L-ORNITHINE","map01210","2-Oxocarboxylic acid metabolism"
"1004","N-ALPHA-ACETYL-L-ORNITHINE","map01230","Biosynthesis of amino acids"
"1005","N-ALPHA-ACETYL-L-ORNITHINE","map00220","Arginine biosynthesis"
"1006","GLUTATHIONE (OXIDIZED)","map01100","Metabolic pathways"
"1007","GLUTATHIONE (OXIDIZED)","map01240","Biosynthesis of cofactors"
"1008","GLUTATHIONE (OXIDIZED)","map00270","Cysteine and methionine metabolism"
"1009","GLUTATHIONE (OXIDIZED)","map00480","Glutathione metabolism"
"1010","GLUTATHIONE (OXIDIZED)","map02010","ABC transporters"
"1011","GLUTATHIONE (OXIDIZED)","map04216","Ferroptosis"
"1012","GLUTATHIONE (OXIDIZED)","map04918","Thyroid hormone synthesis"
"1013","GLUTATHIONE (OXIDIZED)","map04976","Bile secretion"
"1014","GLUTATHIONE (OXIDIZED)","map05208","Chemical carcinogenesis - reactive oxygen species"
"1015","GLUTATHIONE (OXIDIZED)","map05415","Diabetic cardiomyopathy"
"1016","N-ACETYLASPARTIC ACID","map01100","Metabolic pathways"
"1017","N-ACETYLASPARTIC ACID","map00250","Alanine, aspartate and glutamate metabolism"
"1018","L-CITRULLINE","map01100","Metabolic pathways"
"1019","L-CITRULLINE","map01110","Biosynthesis of secondary metabolites"
"1020","L-CITRULLINE","map01230","Biosynthesis of amino acids"
"1021","L-CITRULLINE","map00220","Arginine biosynthesis"
"1024","4-PYRIDOXATE","map01100","Metabolic pathways"
"1025","4-PYRIDOXATE","map01120","Microbial metabolism in diverse environments"
"1026","4-PYRIDOXATE","map00750","Vitamin B6 metabolism"
"1029","N-ACETYLGLUTAMIC ACID","map01100","Metabolic pathways"
"1030","N-ACETYLGLUTAMIC ACID","map01110","Biosynthesis of secondary metabolites"
"1031","N-ACETYLGLUTAMIC ACID","map01210","2-Oxocarboxylic acid metabolism"
"1032","N-ACETYLGLUTAMIC ACID","map01230","Biosynthesis of amino acids"
"1033","N-ACETYLGLUTAMIC ACID","map00220","Arginine biosynthesis"
"1034","N-ACETYLGLUTAMIC ACID","map00470","D-Amino acid metabolism"
"1035","D(+)-GALACTURONIC ACID","map01100","Metabolic pathways"
"1036","D(+)-GALACTURONIC ACID","map01250","Biosynthesis of nucleotide sugars"
"1037","D(+)-GALACTURONIC ACID","map01240","Biosynthesis of cofactors"
"1038","D(+)-GALACTURONIC ACID","map00040","Pentose and glucuronate interconversions"
"1039","D(+)-GALACTURONIC ACID","map00053","Ascorbate and aldarate metabolism"
"1040","D(+)-GALACTURONIC ACID","map00520","Amino sugar and nucleotide sugar metabolism"
"1041","D(+)-GALACTURONIC ACID","map02010","ABC transporters"
"1042","D-GLUCONIC ACID","map01100","Metabolic pathways"
"1043","D-GLUCONIC ACID","map01110","Biosynthesis of secondary metabolites"
"1044","D-GLUCONIC ACID","map01120","Microbial metabolism in diverse environments"
"1045","D-GLUCONIC ACID","map01200","Carbon metabolism"
"1046","D-GLUCONIC ACID","map00030","Pentose phosphate pathway"
"1047","3,4-DIHYDROXY-1-PHENYLALANINE","map01100","Metabolic pathways"
"1048","3,4-DIHYDROXY-1-PHENYLALANINE","map01110","Biosynthesis of secondary metabolites"
"1049","3,4-DIHYDROXY-1-PHENYLALANINE","map00350","Tyrosine metabolism"
"1050","3,4-DIHYDROXY-1-PHENYLALANINE","map00950","Isoquinoline alkaloid biosynthesis"
"1051","3,4-DIHYDROXY-1-PHENYLALANINE","map00965","Betalain biosynthesis"
"1052","3,4-DIHYDROXY-1-PHENYLALANINE","map01060","Biosynthesis of plant secondary metabolites"
"1053","3,4-DIHYDROXY-1-PHENYLALANINE","map01063","Biosynthesis of alkaloids derived from shikimate pathway"
"1054","3,4-DIHYDROXY-1-PHENYLALANINE","map04917","Prolactin signaling pathway"
"1055","3,4-DIHYDROXY-1-PHENYLALANINE","map04728","Dopaminergic synapse"
"1056","3,4-DIHYDROXY-1-PHENYLALANINE","map05012","Parkinson disease"
"1057","3,4-DIHYDROXY-1-PHENYLALANINE","map05030","Cocaine addiction"
"1058","3,4-DIHYDROXY-1-PHENYLALANINE","map05031","Amphetamine addiction"
"1059","3,4-DIHYDROXY-1-PHENYLALANINE","map05034","Alcoholism"
"1060","L-DOPA","map01100","Metabolic pathways"
"1061","L-DOPA","map01110","Biosynthesis of secondary metabolites"
"1062","L-DOPA","map00350","Tyrosine metabolism"
"1063","L-DOPA","map00950","Isoquinoline alkaloid biosynthesis"
"1064","L-DOPA","map00965","Betalain biosynthesis"
"1065","L-DOPA","map01060","Biosynthesis of plant secondary metabolites"
"1066","L-DOPA","map01063","Biosynthesis of alkaloids derived from shikimate pathway"
"1067","L-DOPA","map04917","Prolactin signaling pathway"
"1068","L-DOPA","map04728","Dopaminergic synapse"
"1069","L-DOPA","map05012","Parkinson disease"
"1070","L-DOPA","map05030","Cocaine addiction"
"1071","L-DOPA","map05031","Amphetamine addiction"
"1072","L-DOPA","map05034","Alcoholism"
"1073","D-ERYTHROSE-4-PHOSPHATE","map01100","Metabolic pathways"
"1074","D-ERYTHROSE-4-PHOSPHATE","map01110","Biosynthesis of secondary metabolites"
"1075","D-ERYTHROSE-4-PHOSPHATE","map01120","Microbial metabolism in diverse environments"
"1076","D-ERYTHROSE-4-PHOSPHATE","map01200","Carbon metabolism"
"1077","D-ERYTHROSE-4-PHOSPHATE","map01230","Biosynthesis of amino acids"
"1078","D-ERYTHROSE-4-PHOSPHATE","map01240","Biosynthesis of cofactors"
"1079","D-ERYTHROSE-4-PHOSPHATE","map00030","Pentose phosphate pathway"
"1080","D-ERYTHROSE-4-PHOSPHATE","map00710","Carbon fixation by Calvin cycle"
"1081","D-ERYTHROSE-4-PHOSPHATE","map00400","Phenylalanine, tyrosine and tryptophan biosynthesis"
"1082","D-ERYTHROSE-4-PHOSPHATE","map00750","Vitamin B6 metabolism"
"1083","D-ERYTHROSE-4-PHOSPHATE","map00998","Biosynthesis of various antibiotics"
"1084","D-ERYTHROSE-4-PHOSPHATE","map00997","Biosynthesis of various other secondary metabolites"
"1085","D-ERYTHROSE-4-PHOSPHATE","map01060","Biosynthesis of plant secondary metabolites"
"1086","D-ERYTHROSE-4-PHOSPHATE","map01061","Biosynthesis of phenylpropanoids"
"1087","D-ERYTHROSE-4-PHOSPHATE","map01063","Biosynthesis of alkaloids derived from shikimate pathway"
"1088","D-ERYTHROSE-4-PHOSPHATE","map01070","Biosynthesis of plant hormones"
"1091","PANTHENOL","map00770","Pantothenate and CoA biosynthesis"
"1092","N-ACETYL-L-PHENYLALANINE","map01100","Metabolic pathways"
"1093","N-ACETYL-L-PHENYLALANINE","map00360","Phenylalanine metabolism"
"1096","PANTOTHENATE","map01100","Metabolic pathways"
"1097","PANTOTHENATE","map01110","Biosynthesis of secondary metabolites"
"1098","PANTOTHENATE","map01240","Biosynthesis of cofactors"
"1099","PANTOTHENATE","map00410","beta-Alanine metabolism"
"1100","PANTOTHENATE","map00770","Pantothenate and CoA biosynthesis"
"1101","PANTOTHENATE","map04977","Vitamin digestion and absorption"
"1102","D-ARABINOSE-5-PHOSPHATE","map01100","Metabolic pathways"
"1103","D-ARABINOSE-5-PHOSPHATE","map01250","Biosynthesis of nucleotide sugars"
"1104","D-ARABINOSE-5-PHOSPHATE","map00540","Lipopolysaccharide biosynthesis"
"1105","URIDINE","map01100","Metabolic pathways"
"1106","URIDINE","map01232","Nucleotide metabolism"
"1107","URIDINE","map00240","Pyrimidine metabolism"
"1108","URIDINE","map02010","ABC transporters"
"1111","INOSINE","map01100","Metabolic pathways"
"1112","INOSINE","map01232","Nucleotide metabolism"
"1113","INOSINE","map00230","Purine metabolism"
"1114","INOSINE","map02010","ABC transporters"
"1115","LINOLEIC ACID","map01100","Metabolic pathways"
"1116","LINOLEIC ACID","map00591","Linoleic acid metabolism"
"1117","LINOLEIC ACID","map01040","Biosynthesis of unsaturated fatty acids"
"1118","LINOLEIC ACID","map01060","Biosynthesis of plant secondary metabolites"
"1119","XANTHOSINE","map01100","Metabolic pathways"
"1120","XANTHOSINE","map01110","Biosynthesis of secondary metabolites"
"1121","XANTHOSINE","map01232","Nucleotide metabolism"
"1122","XANTHOSINE","map00230","Purine metabolism"
"1123","XANTHOSINE","map00232","Caffeine metabolism"
"1124","XANTHOSINE","map01065","Biosynthesis of alkaloids derived from histidine and purine"
"1125","XANTHOSINE","map02010","ABC transporters"
"1126","STEARIC ACID","map01100","Metabolic pathways"
"1127","STEARIC ACID","map00061","Fatty acid biosynthesis"
"1128","STEARIC ACID","map01040","Biosynthesis of unsaturated fatty acids"
"1129","STEARIC ACID","map01060","Biosynthesis of plant secondary metabolites"
"1130","STEARIC ACID","map04745","Phototransduction - fly"
"1132","N-ACETYLASPARTYLGLUTAMIC ACID","map01100","Metabolic pathways"
"1133","N-ACETYLASPARTYLGLUTAMIC ACID","map00250","Alanine, aspartate and glutamate metabolism"
"1134","N-ACETYLASPARTYLGLUTAMIC ACID","map04080","Neuroactive ligand-receptor interaction"
