"","gene","log2FoldChange","pvalue","cell","comparision"
"88","Tesk1",-0.570882549534543,0.00989078355299276,"mySC","DR_vs_EX"
"89","Coa7",1.292274983116,0.00303781612161621,"mySC","DR_vs_EX"
"90","Srd5a3",0.854331577237062,0.00496071100799043,"mySC","DR_vs_EX"
"91","Cds1",-1.91928756255268,0.00953508308811818,"mySC","DR_vs_EX"
"92","Ache1",-3.95233571068844,0.00588962326823663,"mySC","DR_vs_EX"
"93","Tpk11",-0.825696696590206,0.00561105024108933,"mySC","DR_vs_EX"
"94","Acrbp",0.36496588017802,0.00986920113124302,"mySC","DR_vs_EX"
"95","Ogfod1",-0.675882584577364,0.00510134872280352,"mySC","DR_vs_EX"
"96","Wwp2",0.497853959823855,0.004198372591513,"mySC","DR_vs_EX"
"97","Gabarapl2",-0.536655482846606,0.00370666528910902,"mySC","DR_vs_EX"
"98","Pts1",0.8239306078203,0.00298982654661076,"mySC","DR_vs_EX"
"99","Ppp2r1b",1.31091333240238,0.00408306654843331,"mySC","DR_vs_EX"
"100","Rbp11",-1.28642653161658,0.000841268649571606,"mySC","DR_vs_EX"
"101","Klhdc8b",-0.330175983713501,0.00541983963673938,"mySC","DR_vs_EX"
"102","Nup43",-1.40518081418713,0.00856429676552181,"mySC","DR_vs_EX"
"103","Sesn1",-0.287924223482372,0.00125378667414395,"mySC","DR_vs_EX"
"104","Foxo3",-0.270904916512736,0.00948119482012627,"mySC","DR_vs_EX"
"105","Tle6",1.73476213480176,0.00190933227260341,"mySC","DR_vs_EX"
"106","Jmjd4",-0.710268765701119,0.00262530217449483,"mySC","DR_vs_EX"
"107","B9d1",-1.01183027401745,0.00874142944887835,"mySC","DR_vs_EX"
"108","Stard3",-0.541604011228179,0.00915057680498737,"mySC","DR_vs_EX"
"109","Sec24c",0.389568289684965,0.00702223512876219,"mySC","DR_vs_EX"
"110","Ints9",0.951617264806583,0.00158984113659033,"mySC","DR_vs_EX"
"111","Marf1",0.327091519182676,0.00679092308115842,"mySC","DR_vs_EX"
"112","Tnfrsf12a",1.35851293698385,0.00663837940321887,"mySC","DR_vs_EX"
"113","Syn1",-2.26047692644688,0.00114725511560586,"mySC","DR_vs_EX"
"114","Pnkd",-0.436117538852257,0.00479023826406481,"mySC","DR_vs_HFD"
"115","Adipor1",-0.414995672066183,0.00748980336682962,"mySC","DR_vs_HFD"
"116","Zbtb41",0.666443193702978,0.00735931943017701,"mySC","DR_vs_HFD"
"117","Hspa14",0.545088295560819,0.00748014613170184,"mySC","DR_vs_HFD"
"118","Echdc3",-1.50280339056263,0.00833453935120018,"mySC","DR_vs_HFD"
"119","Bub1b",-1.25813047523149,0.00822330793972239,"mySC","DR_vs_HFD"
"120","Rab33b",0.403717296677017,0.00530225735642948,"mySC","DR_vs_HFD"
"121","Sigmar1",0.745859278422152,0.00421493698635646,"mySC","DR_vs_HFD"
"122","Trim32",-0.820501144574779,0.00901523656372443,"mySC","DR_vs_HFD"
"123","Isg151",-2.26775603012154,0.00148921131702971,"mySC","DR_vs_HFD"
"124","Sdad1",1.07678617437124,0.00133054905298358,"mySC","DR_vs_HFD"
"125","Ccdc18",1.73567667671136,0.0096089807956336,"mySC","DR_vs_HFD"
"126","Ache2",-4.13159635408996,0.00402016166853223,"mySC","DR_vs_HFD"
"127","Tmc41",0.385063562877456,0.00736349401307652,"mySC","DR_vs_HFD"
"128","Tjp11",-0.330950643839754,0.00610126641122067,"mySC","DR_vs_HFD"
"129","Pold3",-0.439425356908851,0.00789626166231603,"mySC","DR_vs_HFD"
"130","Pycard",-2.49806229705272,0.00482010682500831,"mySC","DR_vs_HFD"
"131","Junb",0.970527753157308,0.00159489554547071,"mySC","DR_vs_HFD"
"132","Aars",0.529143126884004,0.00979363218283492,"mySC","DR_vs_HFD"
"133","Cmip",-0.840301171004445,0.00132134219222623,"mySC","DR_vs_HFD"
"134","Rab1a",0.596565574444297,0.00293519780739415,"mySC","DR_vs_HFD"
"135","Id2",1.90162722854774,0.00231791190341371,"mySC","DR_vs_HFD"
"136","Ndrg2",-0.702573743828088,0.00527473587888996,"mySC","DR_vs_HFD"
"137","Taf2",0.516370788931851,0.00582195710633329,"mySC","DR_vs_HFD"
"138","Gtpbp8",-0.602080521840265,0.00698274550811967,"mySC","DR_vs_HFD"
"139","Tnfrsf12a1",1.42854732369737,0.0051470406680789,"mySC","DR_vs_HFD"
"140","Tead3",-0.355279061897911,0.00183006978492971,"mySC","DR_vs_HFD"
"141","Twsg1",0.95541925699281,0.00207834003795865,"mySC","DR_vs_HFD"
"142","Trim361",-3.04156992880286,0.00947640919768852,"mySC","DR_vs_HFD"
"143","Pcgf5",-0.79414242300724,0.00491210831249426,"mySC","DR_vs_HFD"
"144","March5",-0.595484866359164,0.00490869222613768,"mySC","DR_vs_HFD"
"145","Hs6st1",1.11874841458619,0.0032503912000339,"mySC","DR_vs_SD"
"146","Unc50",-0.756676080257346,0.00163014069691092,"mySC","DR_vs_SD"
"147","Pgap1",0.997323408470415,0.00839338922529452,"mySC","DR_vs_SD"
"148","Blzf1",-0.711911336448467,0.00540561632542353,"mySC","DR_vs_SD"
"149","C1qtnf41",-0.634581858477805,0.00988206488466718,"mySC","DR_vs_SD"
"150","Bub1b1",-1.52966719368567,0.00169813537445714,"mySC","DR_vs_SD"
"151","Stk4",-0.72362677207364,0.00403572519252497,"mySC","DR_vs_SD"
"152","Pag1",0.65082822954329,4.32403862507421e-05,"mySC","DR_vs_SD"
"153","Pgrmc2",0.787906286148937,0.000438750029655879,"mySC","DR_vs_SD"
"154","Slc25a44",0.707690987726955,0.00800107504242158,"mySC","DR_vs_SD"
"155","Jtb",0.521655094335552,0.00628008688805024,"mySC","DR_vs_SD"
"156","B4galt1",-1.2643447074749,0.00147856550145428,"mySC","DR_vs_SD"
"157","Tesk11",-0.626524273328571,0.00683587081840449,"mySC","DR_vs_SD"
"158","Zdhhc21",0.456008520913695,0.00784989587296227,"mySC","DR_vs_SD"
"159","Kti12",-0.671760204442051,0.00913350376389854,"mySC","DR_vs_SD"
"160","Tmem269",3.51640286729001,0.00728711803053159,"mySC","DR_vs_SD"
"161","Pex1",-0.71870574524523,0.00270487989712114,"mySC","DR_vs_SD"
"162","Wdr1",-0.512836489780166,0.00437519505619958,"mySC","DR_vs_SD"
"163","Commd8",0.892930220276514,0.00538211926498313,"mySC","DR_vs_SD"
"164","Cds11",-2.04870931163941,0.00762994365727388,"mySC","DR_vs_SD"
"165","Setd1b",0.494999364638597,0.00269987279629742,"mySC","DR_vs_SD"
"166","Ache3",-3.94160974348678,0.00796425396429921,"mySC","DR_vs_SD"
"167","Brat1",-0.708174977904088,0.000817256167103861,"mySC","DR_vs_SD"
"168","Zc3hc1",1.16330616202675,0.00181956967903052,"mySC","DR_vs_SD"
"169","Slc23a4",3.77845517825557,0.00833772343746201,"mySC","DR_vs_SD"
"170","Ttc26",-1.24668011602903,0.00898439810275534,"mySC","DR_vs_SD"
"171","AI854703",-0.78917696517965,0.00405571244429985,"mySC","DR_vs_SD"
"172","Smyd5",-0.805287128915481,0.00413014309358447,"mySC","DR_vs_SD"
"173","Cdc42ep5",3.66783911227734,0.00480907165753763,"mySC","DR_vs_SD"
"174","Eif3k",0.824597435206614,0.00177931402848034,"mySC","DR_vs_SD"
"175","Mex3b",-1.32804734603112,0.0097421326895275,"mySC","DR_vs_SD"
"176","Coa4",0.845927679039929,0.00464953447496044,"mySC","DR_vs_SD"
"177","Prss53",-0.933752304441948,0.000520122381862349,"mySC","DR_vs_SD"
"178","Pycard1",-3.03780643943193,0.000607318741771589,"mySC","DR_vs_SD"
"179","Tex29",3.53538183537529,0.00823720324703049,"mySC","DR_vs_SD"
"180","Kat6a",0.47561520532793,0.00426534487256989,"mySC","DR_vs_SD"
"181","Spock3",2.0393547285421,0.00355626084432371,"mySC","DR_vs_SD"
"182","Adgre5",1.22821703565133,0.00899134779826771,"mySC","DR_vs_SD"
"183","Adgrg5",1.13060463231613,0.00719393818249382,"mySC","DR_vs_SD"
"184","Osgin1",1.44401993564235,0.00919482430875304,"mySC","DR_vs_SD"
"185","S1pr2",2.84884325693019,0.00182124654758954,"mySC","DR_vs_SD"
"186","Rcn21",0.856862214276469,0.000440392662939563,"mySC","DR_vs_SD"
"187","Fam219b",-0.728906069946781,0.00964602490247117,"mySC","DR_vs_SD"
"188","Wdr6",1.74957452495797,0.00564520709815036,"mySC","DR_vs_SD"
"189","Ccdc28a",-0.769730530197098,0.00159649097144463,"mySC","DR_vs_SD"
"190","Pbld2",-1.47005457000063,0.0094625914939826,"mySC","DR_vs_SD"
"191","Arhgef25",-0.914423533562258,0.00962733376862174,"mySC","DR_vs_SD"
"192","Zfp454",1.38331836711816,0.00320404977758492,"mySC","DR_vs_SD"
"193","Rad50",0.538559050930051,0.00935506782340762,"mySC","DR_vs_SD"
"194","Cdk5r1",1.74126191846989,0.00193752991371965,"mySC","DR_vs_SD"
"195","Oxld1",1.29800035013438,0.00470965943372602,"mySC","DR_vs_SD"
"196","Map4k5",0.425655425650086,0.00826413810312692,"mySC","DR_vs_SD"
"197","Asb13",1.30861948586545,0.00133927610242199,"mySC","DR_vs_SD"
"198","Zfp169",0.825128249352483,0.00957200579356234,"mySC","DR_vs_SD"
"199","Ppp2r2a",0.745068420412006,0.0031625794928528,"mySC","DR_vs_SD"
